feature,mean_abs_shap,rank
distance_km,1.4910167,1
weather_Rain,0.8249674,2
is_peak_hour,0.6191231,3
queue_pressure,0.57605237,4
store_utilization,0.40795037,5
orders_in_queue,0.2641856,6
load_ratio,0.15075329,7
weather_Clear,0.12631965,8
riders_active,0.11485532,9
utilization_rate,0.08583836,10
weather_Cloudy,0.07704249,11
order_hour,0.05159408,12
order_value_inr,0.03612777,13
orders_per_rider,0.012929362,14
is_weekend,0.010084787,15
zone_Zone_04,0.009037087,16
store_id_Store_17,0.008620986,17
zone_Zone_14,0.008412242,18
store_id_Store_01,0.007339428,19
zone_Zone_03,0.007145215,20
zone_Zone_19,0.006984148,21
store_id_Store_09,0.006671951,22
zone_Zone_06,0.0064930883,23
zone_type_Low-Density,0.0060891896,24
store_id_Store_19,0.0058951546,25
store_id_Store_11,0.005798835,26
zone_type_High-Density,0.00552884,27
zone_Zone_08,0.0052605267,28
store_id_Store_27,0.004780992,29
store_id_Store_35,0.0047324453,30
zone_Zone_01,0.0044905855,31
zone_type_Medium-Density,0.0043609836,32
store_id_Store_07,0.004329229,33
store_id_Store_37,0.00431658,34
zone_Zone_10,0.0042815898,35
store_id_Store_38,0.0038362343,36
store_id_Store_32,0.0038052665,37
store_id_Store_30,0.0038002995,38
store_id_Store_18,0.003674378,39
zone_Zone_13,0.0034434574,40
zone_Zone_12,0.0034134735,41
store_id_Store_34,0.003221005,42
store_id_Store_36,0.0031633226,43
zone_Zone_15,0.0030772355,44
zone_Zone_09,0.0028947073,45
store_id_Store_31,0.0028803637,46
zone_Zone_18,0.002753452,47
store_id_Store_20,0.0027381936,48
store_id_Store_24,0.002626856,49
store_id_Store_26,0.0025801668,50
zone_Zone_05,0.0023432535,51
zone_Zone_02,0.0023232566,52
is_evening_peak,0.0023146612,53
zone_Zone_16,0.0021176205,54
store_id_Store_05,0.0020795984,55
store_id_Store_25,0.0020362767,56
store_id_Store_13,0.002031153,57
store_id_Store_21,0.0020058353,58
store_id_Store_16,0.0019312607,59
store_id_Store_02,0.0019302729,60
zone_Zone_17,0.00188458,61
store_id_Store_33,0.0017812643,62
store_id_Store_06,0.0017299643,63
store_id_Store_15,0.0016017904,64
store_id_Store_04,0.0015050765,65
store_id_Store_40,0.0015045874,66
store_id_Store_03,0.0014526774,67
store_id_Store_14,0.0014210211,68
zone_Zone_20,0.0013761746,69
store_id_Store_10,0.001285982,70
store_id_Store_12,0.0012778484,71
store_id_Store_39,0.0011931115,72
zone_Zone_11,0.0011355857,73
store_id_Store_29,0.0009987066,74
store_id_Store_28,0.00093792554,75
store_id_Store_23,0.00086390093,76
store_id_Store_08,0.00069559435,77
store_id_Store_22,0.00065080187,78
zone_Zone_07,0.00061938504,79
queue_per_rider,0.00029867908,80
