feature,importance
is_peak_hour,0.26793617
weather_Rain,0.11264089
distance_km,0.08208837
weather_Cloudy,0.070010155
load_ratio,0.0650915
weather_Clear,0.0484178
queue_pressure,0.04791915
orders_in_queue,0.039305992
utilization_rate,0.015556348
store_utilization,0.01274474
orders_per_rider,0.0077830283
riders_active,0.0050121783
store_id_Store_09,0.0044375015
store_id_Store_16,0.0042134193
zone_Zone_04,0.0041554254
store_id_Store_02,0.0040274113
store_id_Store_13,0.003960789
store_id_Store_33,0.003937052
store_id_Store_12,0.0038524857
store_id_Store_34,0.0038460272
store_id_Store_36,0.0038198563
store_id_Store_10,0.003770398
order_hour,0.0037343448
zone_Zone_17,0.0036903028
store_id_Store_18,0.0035939405
store_id_Store_07,0.0035716058
store_id_Store_28,0.003535111
store_id_Store_30,0.003532013
store_id_Store_03,0.0035230822
store_id_Store_21,0.00351346
store_id_Store_38,0.0035114116
zone_Zone_02,0.003508852
order_value_inr,0.0034879718
zone_Zone_14,0.0034510936
store_id_Store_06,0.0034273004
store_id_Store_01,0.003408568
zone_Zone_03,0.0034035684
store_id_Store_40,0.003400477
store_id_Store_22,0.0033850453
store_id_Store_14,0.003337568
store_id_Store_26,0.003333774
store_id_Store_23,0.0033231773
zone_Zone_05,0.003314817
store_id_Store_20,0.003310131
zone_Zone_01,0.0033090634
store_id_Store_24,0.003297912
zone_Zone_13,0.0032948907
zone_type_Low-Density,0.0032741905
zone_Zone_06,0.0032645587
store_id_Store_11,0.0032321478
zone_Zone_09,0.0032229715
zone_type_Medium-Density,0.0032191118
store_id_Store_04,0.0031954877
store_id_Store_29,0.0031893598
zone_type_High-Density,0.0031848531
zone_Zone_10,0.0031816722
store_id_Store_35,0.0031770673
store_id_Store_31,0.003171224
store_id_Store_08,0.00316857
store_id_Store_05,0.0031021093
store_id_Store_25,0.0030884051
store_id_Store_15,0.0030820337
store_id_Store_19,0.003071867
zone_Zone_16,0.0030717233
zone_Zone_15,0.003066433
zone_Zone_11,0.0030437706
zone_Zone_20,0.0030268745
store_id_Store_39,0.002935939
zone_Zone_19,0.0029236428
zone_Zone_08,0.002912118
store_id_Store_27,0.0028921315
is_weekend,0.0028855298
zone_Zone_18,0.0028740566
store_id_Store_17,0.0028251077
is_evening_peak,0.0028133097
store_id_Store_32,0.0028012686
zone_Zone_12,0.0026903388
zone_Zone_07,0.0026551832
store_id_Store_37,0.002556732
queue_per_rider,0.002474115
