zone,zone_type,total_orders,breached_orders,avg_utilization,avg_queue,avg_dispatch_delay,breach_rate_pct
Zone_14,High-Density,9846,1063,0.6251482835669308,3.236949014828357,3.27186065407272,10.79626244160065
Zone_10,Medium-Density,9896,1023,0.6248503435731609,3.1549110751818916,3.2430487065481,10.337510105092967
Zone_02,Low-Density,10123,1039,0.6233712338239652,3.2369850834732787,3.2674266521782083,10.26375580361553
Zone_04,Medium-Density,10019,1024,0.6238217386964766,3.178361113883621,3.2347220281465217,10.220580896297035
Zone_05,High-Density,10167,1037,0.6224862791383889,3.1616012589751157,3.22432969410839,10.199665584734927
Zone_07,High-Density,9966,1015,0.6223327312863737,3.1893437688139676,3.236281356612482,10.184627734296608
Zone_16,High-Density,10154,1025,0.6215369312586173,3.1756943076620052,3.2257130194997043,10.094544022060271
Zone_08,Low-Density,10014,1009,0.6222350709007389,3.2090073896544835,3.2507599360894748,10.075893748751747
Zone_18,Medium-Density,10037,1011,0.6241668825346219,3.186609544684667,3.2358264421639933,10.072730895685963
Zone_20,High-Density,9794,983,0.6229326118031449,3.187870124566061,3.2438401061874615,10.036757198284665
Zone_11,High-Density,9968,997,0.6237993579454254,3.1524879614767256,3.2239014847512037,10.002006420545746
Zone_13,Low-Density,9942,992,0.6224601689800845,3.150975658821163,3.2394628847314424,9.977871655602494
Zone_03,Medium-Density,9987,995,0.6236386302192851,3.2230900170221286,3.248186642635426,9.962951837388605
Zone_01,High-Density,9976,978,0.6229848636728148,3.1967722534081795,3.224813552526063,9.803528468323977
Zone_06,High-Density,10008,980,0.6235264788169465,3.179856115107914,3.230085931254996,9.792166266986412
Zone_09,Medium-Density,10018,977,0.6207436614094629,3.139249351167898,3.2128838091435417,9.752445597923737
Zone_17,High-Density,10036,977,0.6215558987644481,3.1805500199282584,3.2270336787564764,9.734954165005979
Zone_19,Medium-Density,10089,968,0.6236521954604024,3.191594806224601,3.247564674397859,9.594607988898801
Zone_12,Low-Density,9889,946,0.6258066538578219,3.204975224997472,3.243614116695318,9.56618464961068
Zone_15,High-Density,10071,961,0.6224517922748486,3.1725747194916094,3.205882236123523,9.542250024823751
